year,era,team,team_wikilink,record_wins,record_losses,pre_lottery_rank,combinations,won_pick_position,has_trade_protection_note,pick_note_refs,data_quality_flag,confirmatory_eligible,eligibility_reason
2022,modern_2019_present,Portland Trail Blazers,Portland Trail Blazers,27,55,6,90,7,0,,clean,1,ok
2022,modern_2019_present,Sacramento Kings,Sacramento Kings,30,52,7,75,4,0,,clean,1,ok
2022,modern_2019_present,Los Angeles Lakers,Los Angeles Lakers,33,49,8,60,8,0,,clean,1,ok
2022,modern_2019_present,San Antonio Spurs,San Antonio Spurs,34,48,9,45,9,0,,clean,1,ok
2022,modern_2019_present,Washington Wizards,Washington Wizards,35,47,10,30,10,0,,clean,1,ok
2022,modern_2019_present,New York Knicks,New York Knicks,37,45,11,20,11,0,,clean,1,ok
2022,modern_2019_present,Los Angeles Clippers,Los Angeles Clippers,42,40,12,15,12,0,,clean,1,ok
2022,modern_2019_present,Charlotte Hornets,Charlotte Hornets,43,39,13,10,13,0,,clean,1,ok
2022,modern_2019_present,Cleveland Cavaliers,Cleveland Cavaliers,44,38,14,5,14,0,,clean,1,ok
2023,modern_2019_present,Detroit Pistons,Detroit Pistons,17,65,1,140,5,0,,clean,1,ok
2023,modern_2019_present,Houston Rockets,Houston Rockets,22,60,2,140,4,0,,clean,1,ok
2023,modern_2019_present,San Antonio Spurs,San Antonio Spurs,22,60,2,140,1,0,,clean,1,ok
2023,modern_2019_present,Charlotte Hornets,Charlotte Hornets,27,55,4,125,2,0,,clean,1,ok
2023,modern_2019_present,Portland Trail Blazers,Portland Trail Blazers,33,49,5,105,3,0,,clean,1,ok
2023,modern_2019_present,Orlando Magic,Orlando Magic,34,48,6,90,6,0,,clean,1,ok
2023,modern_2019_present,Indiana Pacers,Indiana Pacers,35,47,7,68,7,0,,clean,1,ok
2023,modern_2019_present,Washington Wizards,Washington Wizards,35,47,7,67,8,0,,clean,1,ok
2023,modern_2019_present,Utah Jazz,Utah Jazz,37,45,9,45,9,0,,clean,1,ok
2023,modern_2019_present,Dallas Mavericks,Dallas Mavericks,38,44,10,30,10,0,,clean,1,ok
2023,modern_2019_present,Chicago Bulls,Chicago Bulls,40,42,11,18,11,0,,clean,1,ok
2023,modern_2019_present,Oklahoma City Thunder,Oklahoma City Thunder,40,42,11,17,12,0,,clean,1,ok
2023,modern_2019_present,Toronto Raptors,Toronto Raptors,41,41,13,10,13,0,,clean,1,ok
2023,modern_2019_present,New Orleans Pelicans,New Orleans Pelicans,42,40,14,5,14,0,,clean,1,ok
2024,modern_2019_present,Detroit Pistons,Detroit Pistons,14,68,1,140,5,0,,clean,1,ok
2024,modern_2019_present,Washington Wizards,Washington Wizards,15,67,2,140,2,0,,clean,1,ok
2024,modern_2019_present,Charlotte Hornets,Charlotte Hornets,21,61,3,133,6,0,,clean,1,ok
2024,modern_2019_present,Portland Trail Blazers,Portland Trail Blazers,21,61,3,132,7,0,,clean,1,ok
2024,modern_2019_present,San Antonio Spurs,San Antonio Spurs,22,60,5,105,4,0,,clean,1,ok
2024,modern_2019_present,Toronto Raptors,Toronto Raptors,25,57,6,90,8,0,,clean,1,ok
2024,modern_2019_present,Memphis Grizzlies,Memphis Grizzlies,27,55,7,75,9,0,,clean,1,ok
2024,modern_2019_present,Utah Jazz,Utah Jazz,31,51,8,60,10,0,,clean,1,ok
2024,modern_2019_present,Brooklyn Nets,Brooklyn Nets,32,50,9,45,3,0,,clean,1,ok
2024,modern_2019_present,Atlanta Hawks,Atlanta Hawks,36,46,10,30,1,0,,clean,1,ok
2024,modern_2019_present,Chicago Bulls,Chicago Bulls,39,43,11,20,11,0,,clean,1,ok
2024,modern_2019_present,Houston Rockets,Houston Rockets,41,41,12,15,12,0,,clean,1,ok
2024,modern_2019_present,Sacramento Kings,Sacramento Kings,46,36,13,8,13,0,,clean,1,ok
2024,modern_2019_present,Golden State Warriors,Golden State Warriors,46,36,13,7,14,0,,clean,1,ok
2025,modern_2019_present,Utah Jazz,Utah Jazz,17,65,1,140,5,0,,clean,1,ok
2025,modern_2019_present,Washington Wizards,Washington Wizards,18,64,2,140,6,0,,clean,1,ok
2025,modern_2019_present,Charlotte Hornets,Charlotte Hornets,19,63,3,140,4,0,,clean,1,ok
2025,modern_2019_present,New Orleans Pelicans,New Orleans Pelicans,21,61,4,125,7,0,,clean,1,ok
2025,modern_2019_present,Philadelphia 76ers,Philadelphia 76ers,24,58,5,105,3,0,,clean,1,ok
2025,modern_2019_present,Brooklyn Nets,Brooklyn Nets,26,56,6,90,8,0,,clean,1,ok
2025,modern_2019_present,Toronto Raptors,Toronto Raptors,30,52,7,75,9,0,,clean,1,ok
2025,modern_2019_present,San Antonio Spurs,San Antonio Spurs,34,48,8,60,2,0,,clean,1,ok
2025,modern_2019_present,Phoenix Suns,Phoenix Suns,36,46,9,38,10,0,,clean,1,ok
2025,modern_2019_present,Portland Trail Blazers,Portland Trail Blazers,36,46,9,37,11,0,,clean,1,ok
2025,modern_2019_present,Dallas Mavericks,Dallas Mavericks,39,43,11,18,1,0,,clean,1,ok
2025,modern_2019_present,Chicago Bulls,Chicago Bulls,39,43,11,17,12,0,,clean,1,ok
2025,modern_2019_present,Sacramento Kings,Sacramento Kings,40,42,13,8,13,0,,clean,1,ok
2025,modern_2019_present,Atlanta Hawks,Atlanta Hawks,40,42,13,7,14,0,,clean,1,ok
